Date,Open,High,Low,Close,Adj Close,Volume
11/29/2016,23.879999,23.879999,23.879999,23.879999,19.379829,0
11/30/2016,23.77,23.77,23.77,23.77,19.290562,0
12/1/2016,23.639999,23.639999,23.639999,23.639999,19.185059,0
12/2/2016,23.66,23.66,23.66,23.66,19.201288,0
12/6/2016,23.870001,23.870001,23.870001,23.870001,19.371717,0
12/7/2016,24.17,24.17,24.17,24.17,19.615181,0
12/8/2016,24.23,24.23,24.23,24.23,19.663874,0
12/9/2016,24.379999,24.379999,24.379999,24.379999,19.785608,0
12/12/2016,24.32,24.32,24.32,24.32,19.736914,0
12/13/2016,24.5,24.5,24.5,24.5,19.882994,0
12/14/2016,24.309999,24.309999,24.309999,24.309999,19.728794,0
12/15/2016,22.76,22.76,22.76,22.76,18.470894,0
12/16/2016,22.719999,22.719999,22.719999,22.719999,18.438429,0
12/19/2016,22.77,22.77,22.77,22.77,18.47901,0
12/20/2016,22.860001,22.860001,22.860001,22.860001,18.55205,0
12/21/2016,22.809999,22.809999,22.809999,22.809999,18.511473,0
12/22/2016,22.75,22.75,22.75,22.75,18.462778,0
12/23/2016,22.75,22.75,22.75,22.75,18.462778,0
12/27/2016,22.84,22.84,22.84,22.84,18.53582,0
12/28/2016,22.66,22.66,22.66,22.66,18.38974,0
12/29/2016,22.639999,22.639999,22.639999,22.639999,18.373508,0
12/30/2016,22.540001,22.540001,22.540001,22.540001,18.292353,0
1/3/2017,22.709999,22.709999,22.709999,22.709999,18.430315,0
1/4/2017,22.860001,22.860001,22.860001,22.860001,18.55205,0
1/5/2017,22.870001,22.870001,22.870001,22.870001,18.560165,0
1/6/2017,22.969999,22.969999,22.969999,22.969999,18.641319,0
1/9/2017,22.9,22.9,22.9,22.9,18.584511,0
1/10/2017,22.91,22.91,22.91,22.91,18.592628,0
1/11/2017,22.98,22.98,22.98,22.98,18.649437,0
1/12/2017,22.93,22.93,22.93,22.93,18.608856,0
1/13/2017,22.98,22.98,22.98,22.98,18.649437,0
1/17/2017,22.9,22.9,22.9,22.9,18.584511,0
1/18/2017,22.959999,22.959999,22.959999,22.959999,18.633204,0
1/19/2017,22.860001,22.860001,22.860001,22.860001,18.55205,0
1/20/2017,22.940001,22.940001,22.940001,22.940001,18.616976,0
1/23/2017,22.889999,22.889999,22.889999,22.889999,18.576397,0
1/24/2017,23.040001,23.040001,23.040001,23.040001,18.698128,0
1/25/2017,23.24,23.24,23.24,23.24,18.860441,0
1/26/2017,23.23,23.23,23.23,23.23,18.852324,0
1/27/2017,23.209999,23.209999,23.209999,23.209999,18.836092,0
1/30/2017,23.059999,23.059999,23.059999,23.059999,18.714359,0
1/31/2017,23.049999,23.049999,23.049999,23.049999,18.706244,0
2/1/2017,23.07,23.07,23.07,23.07,18.722475,0
2/2/2017,23.08,23.08,23.08,23.08,18.730589,0
2/3/2017,23.23,23.23,23.23,23.23,18.852324,0
2/6/2017,23.190001,23.190001,23.190001,23.190001,18.819862,0
2/7/2017,23.200001,23.200001,23.200001,23.200001,18.827978,0
2/8/2017,23.24,23.24,23.24,23.24,18.860441,0
2/9/2017,23.389999,23.389999,23.389999,23.389999,18.98217,0
2/10/2017,23.469999,23.469999,23.469999,23.469999,19.047092,0
2/13/2017,23.610001,23.610001,23.610001,23.610001,19.160715,0
2/14/2017,23.700001,23.700001,23.700001,23.700001,19.233753,0
2/15/2017,23.82,23.82,23.82,23.82,19.331139,0
2/16/2017,23.799999,23.799999,23.799999,23.799999,19.314907,0
2/17/2017,23.85,23.85,23.85,23.85,19.355484,0
2/21/2017,24,24,24,24,19.477221,0
2/22/2017,23.98,23.98,23.98,23.98,19.460987,0
2/23/2017,23.99,23.99,23.99,23.99,19.469105,0
2/24/2017,24.02,24.02,24.02,24.02,19.49345,0
2/27/2017,24.040001,24.040001,24.040001,24.040001,19.50968,0
2/28/2017,23.98,23.98,23.98,23.98,19.460987,0
3/1/2017,24.309999,24.309999,24.309999,24.309999,19.728794,0
3/2/2017,24.16,24.16,24.16,24.16,19.607065,0
3/3/2017,24.200001,24.200001,24.200001,24.200001,19.639526,0
3/6/2017,24.110001,24.110001,24.110001,24.110001,19.56649,0
3/7/2017,24.030001,24.030001,24.030001,24.030001,19.501566,0
3/8/2017,24.01,24.01,24.01,24.01,19.485332,0
3/9/2017,24.030001,24.030001,24.030001,24.030001,19.501566,0
3/10/2017,24.120001,24.120001,24.120001,24.120001,19.574606,0
3/13/2017,24.139999,24.139999,24.139999,24.139999,19.590836,0
3/14/2017,24.049999,24.049999,24.049999,24.049999,19.517794,0
3/15/2017,24.25,24.25,24.25,24.25,19.680107,0
3/16/2017,24.209999,24.209999,24.209999,24.209999,19.647642,0
3/17/2017,24.190001,24.190001,24.190001,24.190001,19.631413,0
3/20/2017,24.139999,24.139999,24.139999,24.139999,19.590836,0
3/21/2017,23.84,23.84,23.84,23.84,19.34737,0
3/22/2017,23.9,23.9,23.9,23.9,19.396063,0
3/23/2017,23.870001,23.870001,23.870001,23.870001,19.371717,0
3/24/2017,23.860001,23.860001,23.860001,23.860001,19.3636,0
3/27/2017,23.85,23.85,23.85,23.85,19.355484,0
3/28/2017,24.02,24.02,24.02,24.02,19.49345,0
3/29/2017,24.07,24.07,24.07,24.07,19.534023,0
3/30/2017,24.120001,24.120001,24.120001,24.120001,19.574606,0
3/31/2017,24.059999,24.059999,24.059999,24.059999,19.525913,0
4/3/2017,24.030001,24.030001,24.030001,24.030001,19.501566,0
4/4/2017,24.030001,24.030001,24.030001,24.030001,19.501566,0
4/5/2017,23.959999,23.959999,23.959999,23.959999,19.444752,0
4/6/2017,24.02,24.02,24.02,24.02,19.49345,0
4/7/2017,23.99,23.99,23.99,23.99,19.469105,0
4/10/2017,24.02,24.02,24.02,24.02,19.49345,0
4/11/2017,23.98,23.98,23.98,23.98,19.460987,0
4/12/2017,23.889999,23.889999,23.889999,23.889999,19.387945,0
4/13/2017,23.74,23.74,23.74,23.74,19.266214,0
4/17/2017,23.940001,23.940001,23.940001,23.940001,19.428522,0
4/18/2017,23.879999,23.879999,23.879999,23.879999,19.379829,0
4/19/2017,23.870001,23.870001,23.870001,23.870001,19.371717,0
4/20/2017,24.040001,24.040001,24.040001,24.040001,19.50968,0
4/21/2017,23.99,23.99,23.99,23.99,19.469105,0
4/24/2017,24.27,24.27,24.27,24.27,19.696337,0
4/25/2017,24.42,24.42,24.42,24.42,19.818068,0
4/26/2017,24.4,24.4,24.4,24.4,19.801838,0
4/27/2017,24.459999,24.459999,24.459999,24.459999,19.850531,0
4/28/2017,24.43,24.43,24.43,24.43,19.826185,0
5/1/2017,24.49,24.49,24.49,24.49,19.874878,0
5/2/2017,24.559999,24.559999,24.559999,24.559999,19.931684,0
5/3/2017,24.52,24.52,24.52,24.52,19.899225,0
5/4/2017,24.57,24.57,24.57,24.57,19.939802,0
5/5/2017,24.68,24.68,24.68,24.68,20.029072,0
5/8/2017,24.67,24.67,24.67,24.67,20.020956,0
5/9/2017,24.67,24.67,24.67,24.67,20.020956,0
5/10/2017,24.690001,24.690001,24.690001,24.690001,20.037186,0
5/11/2017,24.629999,24.629999,24.629999,24.629999,19.988493,0
5/12/2017,24.610001,24.610001,24.610001,24.610001,19.972263,0
5/15/2017,24.73,24.73,24.73,24.73,20.069651,0
5/16/2017,24.74,24.74,24.74,24.74,20.077763,0
5/17/2017,24.290001,24.290001,24.290001,24.290001,19.712566,0
5/18/2017,24.389999,24.389999,24.389999,24.389999,19.79372,0
5/19/2017,24.530001,24.530001,24.530001,24.530001,19.907341,0
5/22/2017,24.66,24.66,24.66,24.66,20.01284,0
5/23/2017,24.709999,24.709999,24.709999,24.709999,20.053417,0
5/24/2017,24.809999,24.809999,24.809999,24.809999,20.134573,0
5/25/2017,24.969999,24.969999,24.969999,24.969999,20.264421,0
5/26/2017,24.969999,24.969999,24.969999,24.969999,20.264421,0
5/30/2017,24.950001,24.950001,24.950001,24.950001,20.248192,0
5/31/2017,24.93,24.93,24.93,24.93,20.231958,0
6/1/2017,25.139999,25.139999,25.139999,25.139999,20.402386,0
6/2/2017,25.26,25.26,25.26,25.26,20.499773,0
6/5/2017,25.23,25.23,25.23,25.23,20.475426,0
6/6/2017,25.16,25.16,25.16,25.16,20.418613,0
6/7/2017,25.219999,25.219999,25.219999,25.219999,20.46731,0
6/8/2017,25.209999,25.209999,25.209999,25.209999,20.459194,0
6/9/2017,25.120001,25.120001,25.120001,25.120001,20.386154,0
6/12/2017,25.059999,25.059999,25.059999,25.059999,20.33746,0
6/13/2017,25.209999,25.209999,25.209999,25.209999,20.459194,0
6/14/2017,25.190001,25.190001,25.190001,25.190001,20.442965,0
6/15/2017,25.129999,25.129999,25.129999,25.129999,20.394268,0
6/16/2017,25.129999,25.129999,25.129999,25.129999,20.394268,0
6/19/2017,25.370001,25.370001,25.370001,25.370001,20.589043,0
6/20/2017,25.200001,25.200001,25.200001,25.200001,20.451082,0
6/21/2017,25.24,25.24,25.24,25.24,20.483541,0
6/22/2017,25.209999,25.209999,25.209999,25.209999,20.459194,0
6/23/2017,25.25,25.25,25.25,25.25,20.491655,0
6/26/2017,25.24,25.24,25.24,25.24,20.483541,0
6/27/2017,25.02,25.02,25.02,25.02,20.304998,0
6/28/2017,25.26,25.26,25.26,25.26,20.499773,0
6/29/2017,25.030001,25.030001,25.030001,25.030001,20.313114,0
6/30/2017,25.059999,25.059999,25.059999,25.059999,20.33746,0
7/3/2017,25.09,25.09,25.09,25.09,20.361807,0
